item_id,item_name,category,rating,review_text,quality_score,source,date
B00PVUAJDW,Godrej-Security-Solutions-SEEC9060-Electronic,product,1,"To start off, the safe arrived with a Low Battery message, meaning that before I could do anything else, I had to go and get new batteries for this brand new item. Once you get things in order, the safe works well and serves its purpose, however, the manual provided is obsolete, and the instructions do not match up with this product. There are no solutions posted online either. If you want to program the safe, you have to figure it out on your own. The customer service personnel were not helpful either and they kept trying to force me to get a technician to come to my house at the cost of Rs. 500 just to program the device, which completely defeats the purpose of online shopping. Don't fall for it. This is rather ridiculous for such a big brand like Godrej.In case anyone else needs to re-program their home code, here is what I was able to do. I hope it works for you too:1.) The instructions indicate to press 68#, but it actually means 68(Lock). If the instructions indicate *, try pressing Clear2.) Every time I pressed 68#, I got an error message, so I had to go through all the steps listed below.3.) Before you can change personal code in home mode, you will need to Access The Programming (pg. 6). The code is 751019 which means that there are 6 different features that you can program. Go through all the steps and change the numbers as they suit you. When you get to the last digit, there are no instructions written in the book, so you will have to figure this out on your own. If the last digit is 1, change it to 0 or 9.4.) After going through the programming and changing the last number, you should be able to go back to change the personal code in home mode.5.) If you set your password and it doesn't lock, go back to the programming again, and change the last digit back to what it was originally.Good luck.",1.0,amazon_india,2017-07-25
B07S55SML2,Godrej-Security-Solutions-SEEC9060-Electronic,product,1,"To start off, the safe arrived with a Low Battery message, meaning that before I could do anything else, I had to go and get new batteries for this brand new item. Once you get things in order, the safe works well and serves its purpose, however, the manual provided is obsolete, and the instructions do not match up with this product. There are no solutions posted online either. If you want to program the safe, you have to figure it out on your own. The customer service personnel were not helpful either and they kept trying to force me to get a technician to come to my house at the cost of Rs. 500 just to program the device, which completely defeats the purpose of online shopping. Don't fall for it. This is rather ridiculous for such a big brand like Godrej.In case anyone else needs to re-program their home code, here is what I was able to do. I hope it works for you too:1.) The instructions indicate to press 68#, but it actually means 68(Lock). If the instructions indicate *, try pressing Clear2.) Every time I pressed 68#, I got an error message, so I had to go through all the steps listed below.3.) Before you can change personal code in home mode, you will need to Access The Programming (pg. 6). The code is 751019 which means that there are 6 different features that you can program. Go through all the steps and change the numbers as they suit you. When you get to the last digit, there are no instructions written in the book, so you will have to figure this out on your own. If the last digit is 1, change it to 0 or 9.4.) After going through the programming and changing the last number, you should be able to go back to change the personal code in home mode.5.) If you set your password and it doesn't lock, go back to the programming again, and change the last digit back to what it was originally.Good luck.",1.0,amazon_india,2017-07-25
B089638Q8J,Tata-Tea-Gold-1kg,product,5,"If you really a teas fan, you definitely not being unaware of the TATA Tea family. Trusted brand from so many years. I tried almost every standard brand of Teas available in the market, but at last I can say that TATA Tea is the best available brand in the printed price. Although TATA Tea brand is already quite efficient in serving the purpose but the current addition of 'TATA Tea Gold' actually makes sense because of the quality enhancement by adding dried whole tea leaves in to the processed tea. Mixing of whole leaf resulted into the enhanced flavor & color of the prepared Tea. Not more concentrated not milder, it’s like a balanced golden color with real taste/flavor which designed exactly keeping in mind the expectation of the user.1. I agree that if you require strong color/flavor you need to add a little more leaves in to the preparation because TATA Tea Gold is not meant for people who like very strong color seekers. Its more workable for people who wants real flavor with natural golden color in the final preparation. Although even a single tea-spoon is enough to prepare a natural golden cup full of real tea.2. One may keep in mind before using that this tea contains real whole dry tea leaves, so it may take more 2 minutes in preparation in comparison with other brands and the reason is, it is without any added artificial colors into it. The whole dried tea leaves takes time to release real flavor of the contents.3. Taste is premium & up to the expectations as always.4. Packaging is good enough. Visual ergonomic principles well taken into consideration designing the same. Its smarter and visually appealing than the previous packs.I’m using this product from more than 2 years. So, its not an random review. In my family we are using this product in making of every single cup day and night 24x7, whenver we feel like to have one.",1.0,amazon_india,2017-07-09
B082NWX7JC,Mamaearth-Natural-Turmeric-Saffron-brightning,product,5,"→ It has a pleasant smell.→ You don't need to apply in large quantity.→ Even though it has walnut beads, but it's not like an intense scrubber, you can use daily.→ Apply some face moisturizer after this.→ Consistency is not liquidy. (see the image).➡️ KEY INGREDIENTS:∙ Stearic Acid:It has cleansing properties. It helps to remove dirt, sweat and excess sebum from the skin.∙ Sodium Cocoyl Glycinate:It produces a natural creamy-feeling lather. Used for cleansing and skin-softening.∙ Glycerin:Used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations.∙ Palmitic Acid:Used for softening or soothing the skin.  It is the most common saturated fatty acid found in animals, plants and microorganism.∙ Niacinamide:A form of vitamin B3. It helps manage acne, rosacea, pigmentation issues, and wrinkles. It also has skin lightening compound.∙ Carrot Seed Oil:Rich in beta carotene, vitamins A and E and pro-vitamin A.It helps to heal dry, chapped and cracked skin, balances the moisture in the skin. It may even help to reduce wrinkles.∙ Tocopheryl Tocopherol Acetate (Vitamin E):Known for its antioxidant properties.∙ Turmeric Powder:Haldi. It contains antioxidants and anti-inflammatory components.∙Liquorice Extract:Yashtimadhu, one of the most commonly used Ayurvedic herbs.It is extracted from Licorice roots. It contains powerful antioxidants and anti-inflammatory properties. Provides natural sun protection; helps to regulate the skin's oil production and much more.∙ Orange Oil:Reduces dark spots and blemishes, controls excess oil formed on the skin, has antiseptic healing properties, boosts circulation in the skin, and more.∙ Ylang Ylang Oil:Known as the Cananga tree, a tropical tree that is native from India. Promote relaxation, kill bacteria, lower blood pressure, and increase sexual desire.∙ Patchouli Oil:It can deodorize body odours, soothe inflammation, fight water retention, break up cellulite, facilitate the faster healing of wounds by stimulating the growth of new skin, moisturize rough and chapped skin, and reduce the appearance of blemishes, cuts, bruises and scars.➡️ I hope this review and images were helpful. 😊",1.0,amazon_india,2020-01-23
B07Y4ZGYL9,Mamaearth-Natural-Turmeric-Saffron-brightning,product,5,"→ It has a pleasant smell.→ You don't need to apply in large quantity.→ Even though it has walnut beads, but it's not like an intense scrubber, you can use daily.→ Apply some face moisturizer after this.→ Consistency is not liquidy. (see the image).➡️ KEY INGREDIENTS:∙ Stearic Acid:It has cleansing properties. It helps to remove dirt, sweat and excess sebum from the skin.∙ Sodium Cocoyl Glycinate:It produces a natural creamy-feeling lather. Used for cleansing and skin-softening.∙ Glycerin:Used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations.∙ Palmitic Acid:Used for softening or soothing the skin.  It is the most common saturated fatty acid found in animals, plants and microorganism.∙ Niacinamide:A form of vitamin B3. It helps manage acne, rosacea, pigmentation issues, and wrinkles. It also has skin lightening compound.∙ Carrot Seed Oil:Rich in beta carotene, vitamins A and E and pro-vitamin A.It helps to heal dry, chapped and cracked skin, balances the moisture in the skin. It may even help to reduce wrinkles.∙ Tocopheryl Tocopherol Acetate (Vitamin E):Known for its antioxidant properties.∙ Turmeric Powder:Haldi. It contains antioxidants and anti-inflammatory components.∙Liquorice Extract:Yashtimadhu, one of the most commonly used Ayurvedic herbs.It is extracted from Licorice roots. It contains powerful antioxidants and anti-inflammatory properties. Provides natural sun protection; helps to regulate the skin's oil production and much more.∙ Orange Oil:Reduces dark spots and blemishes, controls excess oil formed on the skin, has antiseptic healing properties, boosts circulation in the skin, and more.∙ Ylang Ylang Oil:Known as the Cananga tree, a tropical tree that is native from India. Promote relaxation, kill bacteria, lower blood pressure, and increase sexual desire.∙ Patchouli Oil:It can deodorize body odours, soothe inflammation, fight water retention, break up cellulite, facilitate the faster healing of wounds by stimulating the growth of new skin, moisturize rough and chapped skin, and reduce the appearance of blemishes, cuts, bruises and scars.➡️ I hope this review and images were helpful. 😊",1.0,amazon_india,2020-01-23
B078KT9RB1,Amul-Cacao-Chocolate-125g-Pack,product,5,"Amul 99% cacao is the best dark/bitter chocolate available in India... excellent innovation by Amul. I may tell that I am not endorsing Amul or any other brand...just my own opinions. It has been proven that cacao is one of the healthiest superfoods on earth with amazing health benefits. It's full of antioxidants & flavonoids which increase lifespan. It's one of the highest sources of nitric oxide which dilates/widens & relaxes blood vessels of the body by reducing blockages, thereby supporting heart & brain health. Cacao is also anti inflammatory and anti carcinogenic, thus reduces cancer risk. Moreover, cacao is a natural blood thinner, so can prevent blood clots, reduce blood cholesterol & blood sugar and lower blood pressure. Overall Amul dark cacao chocolate has enormous health benefits...so we must be thankful to Amul for making such an awesome health food. Please ignore the negative and one star rated reviews as those people are ignorant and lack awareness. Requesting all the sugar lovers...please don't defame such a nice and healthy product by giving negative ratings and one star. I pity those innocent sweet toothed people which focus on tongue taste rather than general health. Again, I am not promoting Amul company or a representative of the same, these are my personal views & experience. Those who want to enhance quality of life and reduce onset of lifestyle/genetic diseases like cancer, diabetes, hypertension, stroke, heart attacks, cardiac arrest, etc must not think twice...just purchase the stuff & enjoy. Infact, Amul 99% Cacao Chocolate is a heavenly bliss with irresistible taste. It is indeed Delightful & Ambrosial. I am giving a five star rating to this authentic product...if there were 10 stars, I would have given full 10/10. Lastly, thanks to Amul & Amazon, too for providing such a nice superfood at my doorstep.",1.0,amazon_india,2020-01-25
B002ZVK88G,MYSORE-SANDAL-Mysore-Sandal-Talcum,product,5,I have to thank the amazon recommendation engine for suggesting the mysore sandal talc. I never knew mysore sandal brand had a talc! I had purchased mysore sandal soap few weeks back and perhaps due to this purchase amazon would have recommended this as well. Glad I clicked the suggestion and bought one of these! It's good bye to my existing Ponds Sandalwood talc !This review compares Mysore sandal talc vis-a-vis Ponds Sandalwood talcPros-1. The Fragrance is the first thing which hits you as soon as you open the bottle. Its smells pure authentic sandal wood than the perfumed ponds talc powder2. The mysore sandal talc allows you to decide the size of the hole you want to have on the bottle. Ponds one forces you to have 3 holes as soon as you want the top cover. I always hated this with the ponds talc. Ponds really wants you to use more than what you need!3. The fragrance last longer than the ponds sandalwood talc even though out the day! Believe it or not - you have to try one and be the judge!4. Some reviews talk about the powder not been finely powdered. Nothing like that - the powder is as fine as it's with Ponds sandalwood talc. No more no less!5. The bottle is sealed with a hologram sticker - that's assurance of genuine product from mysore sandal!6. Somehow I like the press-fit top of the bottle to keep the fragrance intact in the bottle when not in use! Ponds bottle was a twist to close top which is not really a seal tight way of shutting close the bottle7. Last but not the least- mysore sandal talc is 50% cheaper than Ponds sandalwood - why on earth would I ever buy Ponds again?Cons-None that i spotted yet,1.0,amazon_india,2018-09-06
B07MVQDD4G,MYSORE-SANDAL-Mysore-Sandal-Talcum,product,5,I have to thank the amazon recommendation engine for suggesting the mysore sandal talc. I never knew mysore sandal brand had a talc! I had purchased mysore sandal soap few weeks back and perhaps due to this purchase amazon would have recommended this as well. Glad I clicked the suggestion and bought one of these! It's good bye to my existing Ponds Sandalwood talc !This review compares Mysore sandal talc vis-a-vis Ponds Sandalwood talcPros-1. The Fragrance is the first thing which hits you as soon as you open the bottle. Its smells pure authentic sandal wood than the perfumed ponds talc powder2. The mysore sandal talc allows you to decide the size of the hole you want to have on the bottle. Ponds one forces you to have 3 holes as soon as you want the top cover. I always hated this with the ponds talc. Ponds really wants you to use more than what you need!3. The fragrance last longer than the ponds sandalwood talc even though out the day! Believe it or not - you have to try one and be the judge!4. Some reviews talk about the powder not been finely powdered. Nothing like that - the powder is as fine as it's with Ponds sandalwood talc. No more no less!5. The bottle is sealed with a hologram sticker - that's assurance of genuine product from mysore sandal!6. Somehow I like the press-fit top of the bottle to keep the fragrance intact in the bottle when not in use! Ponds bottle was a twist to close top which is not really a seal tight way of shutting close the bottle7. Last but not the least- mysore sandal talc is 50% cheaper than Ponds sandalwood - why on earth would I ever buy Ponds again?Cons-None that i spotted yet,1.0,amazon_india,2018-09-06
B089638Q8J,Tata-Tea-Gold-1kg,product,5,"I love Tea...  Tata gold tea is one of the best product of Tata...  This it is very useful for daily use...I got this product from Amazon and got a recently manufactured product... The product is a genuine product...There are other variety of Tea available in the market but among those Tata gold tea is is the best tea according to me for daily use...I got the product at 15% discounted price, as I bought the product during Super Value Days.The manufacturing date of product was just 2 and half months ago from date when I received the product in hand. Hence it is recently manufactured product. Also the product have a very good shelf life.Amazon delivered the product in very good condition and packaging of the product was just awesome. No damage. Amazing...The Amazon pantry box are very hard and during packaging they insert air filled sealed packets, so that the items don't move and pressure is absorbed by the air filled packets.Delivery of my order was just the next day morning. The delivery man took the package inside of my house, as it was heavy and kept the pantry box over a table, as I told him. I behavior of the delivery man was good.I am highly satisfied with the product and I recommend you to buy the product without any fear and hesitation. Believe me you will be satisfied after receiving the product and using it.",1.0,amazon_india,2019-04-19
B01GCETOCW,Tata-Tea-Gold-500g,product,5,"One of the best tea from the house of Tata and it is is a beautiful tea having good taste and flavour... actually it is an appropriate mixture of CTC and leaf tea..I ordered this product from Amazon and it was delivered on the next day in a very good packaging... I got it at discounted price...I got the product at 15% discounted price, as I bought the product during Super Value Days.The manufacturing date of product was just 2 and half months ago from date when I received the product in hand. Hence it is recently manufactured product. Also the product have a very good shelf life.Amazon delivered the product in very good condition and packaging of the product was just awesome. No damage. Amazing...The Amazon pantry box are very hard and during packaging they insert air filled sealed packets, so that the items don't move and pressure is absorbed by the air filled packets.Delivery of my order was just the next day morning. The delivery man took the package inside of my house, as it was heavy and kept the pantry box over a table, as I told him. I behavior of the delivery man was good.I am highly satisfied with the product and I recommend you to buy the product without any fear and hesitation. Believe me you will be satisfied after receiving the product and using it.",1.0,amazon_india,2019-04-19
